learning rate,batch size,components,epoch,accuracy,train_accuracy,runtime
0.01,100,25,500,0.7762,0.78828,19.06267095
0.01,100,50,500,0.806,0.81452,25.37547135
0.01,100,75,500,0.8118,0.82272,33.2352035
0.01,100,100,500,0.815,0.83008,35.64031768
0.01,100,125,500,0.8188,0.83124,40.75519443
0.01,100,150,500,0.8134,0.83132,44.55721426
0.01,100,175,500,0.8176,0.82932,64.38676167
0.01,100,200,500,0.813,0.82988,73.82712007
0.01,100,225,500,0.8134,0.833,80.51832199
0.01,100,250,500,0.8148,0.83176,86.68710303
0.01,100,275,500,0.804,0.82208,93.72838807
0.01,100,300,500,0.8056,0.8204,90.75243282
0.01,100,325,500,0.8032,0.8226,103.3867331
0.01,100,350,500,0.8008,0.82112,107.8435712
0.01,100,375,500,0.8082,0.82664,112.5143263
0.01,100,400,500,0.8012,0.82264,118.8666022
0.01,100,425,500,0.7832,0.80456,123.2065213
0.01,100,450,500,0.7998,0.82004,129.6366584
0.01,100,475,500,0.7902,0.81268,135.9085605
0.01,100,500,500,0.7934,0.81612,141.8377068
0.1,1000,25,500,0.789,0.77608,14.22595859
0.1,1000,50,500,0.8204,0.77608,17.50011849
0.1,1000,75,500,0.8254,0.77608,22.17214394
0.1,1000,100,500,0.8288,0.77608,27.29685116
0.1,1000,125,500,0.8254,0.77608,30.97001314
0.1,1000,150,500,0.827,0.77608,49.54892278
0.1,1000,175,500,0.8232,0.77608,57.79498458
0.1,1000,200,500,0.8152,0.77608,64.67412138
0.1,1000,225,500,0.8204,0.77608,70.95281029
0.1,1000,250,500,0.818,0.77608,77.68251753
0.1,1000,275,500,0.8164,0.77608,84.85922861
0.1,1000,300,500,0.8142,0.77608,90.72247934
0.1,1000,325,500,0.813,0.77608,96.74653101
0.1,1000,350,500,0.8084,0.77608,102.6141441
0.1,1000,375,500,0.8036,0.77608,107.7775233
0.1,1000,400,500,0.8078,0.77608,111.3023441
0.1,1000,425,500,0.8086,0.77608,118.3113959
0.1,1000,450,500,0.7976,0.77608,125.5193753
0.1,1000,475,500,0.8088,0.77608,130.7298496
0.1,1000,500,500,0.8084,0.77608,137.4534559
0.01,100,25,1000,0.783,0.79004,34.17400074
0.01,100,50,1000,0.8056,0.82056,43.7630055
0.01,100,75,1000,0.8206,0.82968,50.58700013
0.01,100,100,1000,0.8266,0.83816,57.54600596
0.01,100,125,1000,0.8236,0.839,65.05900168
0.01,100,150,1000,0.8248,0.84016,78.21500206
0.01,100,175,1000,0.8268,0.83468,80.83000231
0.01,100,200,1000,0.8316,0.84736,89.02621055
0.01,100,225,1000,0.8178,0.83296,94.9119997
0.01,100,250,1000,0.8202,0.83456,108.7860072
0.01,100,275,1000,0.8206,0.84508,112.2201202
0.01,100,300,1000,0.8148,0.83968,117.5000081
0.01,100,325,1000,0.826,0.84164,127.3260009
0.01,100,350,1000,0.8178,0.83992,147.0779142
0.01,100,375,1000,0.8202,0.8406,154.0840068
0.01,100,400,1000,0.819,0.84436,163.6244431
0.01,100,425,1000,0.8186,0.84172,160.229996
0.01,100,450,1000,0.8072,0.838,168.9890049
0.01,100,475,1000,0.7996,0.82968,202.3278973
0.01,100,500,1000,0.813,0.83612,235.5485082
0.1,1000,25,1000,0.7958,0.8024,25.84384656
0.1,1000,50,1000,0.8228,0.83412,33.96589661
0.1,1000,75,1000,0.8278,0.84224,43.31378293
0.1,1000,100,1000,0.8326,0.8462,52.08230877
0.1,1000,125,1000,0.8388,0.85028,59.11080742
0.1,1000,150,1000,0.8364,0.85032,99.18300986
0.1,1000,175,1000,0.8324,0.8506,112.6364546
0.1,1000,200,1000,0.8386,0.85148,125.5797493
