,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__regressor__penalty,param_estimator__regressor__alpha,param_estimator__regressor__l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,0.002101874,0.000300415,0.000500488,0.000500488,,,,{'estimator__regressor__penalty': None},-937.5429209,-1889.873918,-153.2689687,-1261.860583,-260.7198369,-135.5149977,-12261.39699,-26697.88951,-985.2830845,-1054.877015,-4515.015582,8101.942042,1
1,0.002201867,0.00040053,0.000600648,0.000490427,l2,1.00E-05,,"{'estimator__regressor__alpha': 1e-05, 'estimator__regressor__penalty': 'l2'}",-937.5431344,-1889.87417,-153.269014,-1261.860801,-260.7198881,-135.515099,-12261.39759,-26697.8901,-985.2832385,-1054.877098,-4515.015812,8101.942212,2
2,0.002201056,0.000400923,0.000400424,0.000490417,l1,1.00E-05,,"{'estimator__regressor__alpha': 1e-05, 'estimator__regressor__penalty': 'l1'}",-937.5435676,-1889.874776,-153.2690615,-1261.861176,-260.7199443,-135.5153514,-12261.39841,-26697.8906,-985.2833156,-1054.877181,-4515.016136,8101.942343,8
3,0.002000856,0.000445426,0.000700617,0.000458661,l2,0.0001,,"{'estimator__regressor__alpha': 0.0001, 'estimator__regressor__penalty': 'l2'}",-937.5450553,-1889.876437,-153.2694222,-1261.862762,-260.7203495,-135.5160105,-12261.40299,-26697.89546,-985.2846238,-1054.877838,-4515.017884,8101.943745,9
4,0.001801634,0.000400317,0.000500512,0.000500512,l1,0.0001,,"{'estimator__regressor__alpha': 0.0001, 'estimator__regressor__penalty': 'l1'}",-937.5493877,-1889.882501,-153.2698965,-1261.866517,-260.7209118,-135.5185351,-12261.41122,-26697.90041,-985.2853943,-1054.878673,-4515.02113,8101.945055,15
5,0.001901674,0.000300344,0.000500298,0.000500298,l2,0.001,,"{'estimator__regressor__alpha': 0.001, 'estimator__regressor__penalty': 'l2'}",-937.5642267,-1889.899062,-153.273495,-1261.882332,-260.7249526,-135.5251089,-12261.45693,-26697.94894,-985.2984458,-1054.88522,-4515.038562,8101.959036,16
6,0.001901746,0.000300447,0.000400424,0.000490417,l1,0.001,,"{'estimator__regressor__alpha': 0.001, 'estimator__regressor__penalty': 'l1'}",-937.6075466,-1889.959709,-153.2782497,-1261.919905,-260.7305943,-135.5503526,-12261.53925,-26697.99856,-985.3060712,-1054.893599,-4515.071036,8101.972169,22
7,0.00200274,0.000449584,0.000400329,0.0004903,l2,0.01,,"{'estimator__regressor__alpha': 0.01, 'estimator__regressor__penalty': 'l2'}",-937.752203,-1890.12102,-153.3133724,-1262.073944,-260.7699763,-135.6144066,-12261.98569,-26698.47253,-985.4336077,-1054.957343,-4515.241144,8102.108797,23
8,0.002001786,2.71E-07,0.000600553,0.000490349,l1,0.01,,"{'estimator__regressor__alpha': 0.01, 'estimator__regressor__penalty': 'l1'}",-938.1897594,-1890.734573,-153.3642763,-1262.459238,-260.8316483,-135.8691114,-12262.83751,-26698.9998,-985.5953175,-1055.048086,-4515.584114,8102.245865,29
9,0.002001667,2.65E-07,0.0006006,0.000490388,l2,0.1,,"{'estimator__regressor__alpha': 0.1, 'estimator__regressor__penalty': 'l2'}",-939.3059841,-1891.963945,-153.6363127,-1263.632477,-261.1310984,-136.3587294,-12266.3469,-26702.73496,-986.5175067,-1055.528863,-4516.899657,8103.331974,30
10,0.001901698,0.000300272,0.0006006,0.000490388,l1,0.1,,"{'estimator__regressor__alpha': 0.1, 'estimator__regressor__penalty': 'l1'}",-942.7569474,-1896.092916,-154.1166496,-1266.322054,-261.5738621,-138.0404332,-12275.85258,-26709.26523,-988.4698599,-1056.176247,-4520.037714,8105.344467,36
11,0.002001929,2.83E-07,0.000400329,0.0004903,elasticnet,1.00E-05,0.001,"{'estimator__regressor__alpha': 1e-05, 'estimator__regressor__l1_ratio': 0.001, 'estimator__regressor__penalty': 'elasticnet'}",-937.5431348,-1889.87417,-153.2690141,-1261.860801,-260.7198882,-135.5150992,-12261.39759,-26697.8901,-985.2832386,-1054.877098,-4515.015812,8101.942212,3
12,0.001901674,0.000300344,0.000600696,0.000490466,elasticnet,1.00E-05,0.25,"{'estimator__regressor__alpha': 1e-05, 'estimator__regressor__l1_ratio': 0.25, 'estimator__regressor__penalty': 'elasticnet'}",-937.5432427,-1889.874321,-153.2690259,-1261.860895,-260.7199022,-135.5151621,-12261.39779,-26697.89023,-985.2832578,-1054.877118,-4515.015893,8101.942245,4
13,0.001801467,0.000400353,0.000800824,0.000400412,elasticnet,1.00E-05,0.5,"{'estimator__regressor__alpha': 1e-05, 'estimator__regressor__l1_ratio': 0.5, 'estimator__regressor__penalty': 'elasticnet'}",-937.543351,-1889.874473,-153.2690377,-1261.860989,-260.7199162,-135.5152252,-12261.398,-26697.89035,-985.283277,-1054.877139,-4515.015974,8101.942278,5
14,0.00190165,0.000300177,0.000600576,0.000490369,elasticnet,1.00E-05,0.75,"{'estimator__regressor__alpha': 1e-05, 'estimator__regressor__l1_ratio': 0.75, 'estimator__regressor__penalty': 'elasticnet'}",-937.5434593,-1889.874625,-153.2690496,-1261.861082,-260.7199303,-135.5152883,-12261.39821,-26697.89048,-985.2832963,-1054.87716,-4515.016055,8101.94231,6
15,0.002001834,6.49E-07,0.000500488,0.000500488,elasticnet,1.00E-05,0.999,"{'estimator__regressor__alpha': 1e-05, 'estimator__regressor__l1_ratio': 0.999, 'estimator__regressor__penalty': 'elasticnet'}",-937.5435672,-1889.874776,-153.2690614,-1261.861176,-260.7199443,-135.5153512,-12261.39841,-26697.8906,-985.2833155,-1054.877181,-4515.016136,8101.942343,7
16,0.00200181,2.57E-07,0.000600553,0.000490349,elasticnet,0.0001,0.001,"{'estimator__regressor__alpha': 0.0001, 'estimator__regressor__l1_ratio': 0.001, 'estimator__regressor__penalty': 'elasticnet'}",-937.5450596,-1889.876443,-153.2694227,-1261.862766,-260.72035,-135.5160131,-12261.403,-26697.89547,-985.2846246,-1054.877838,-4515.017887,8101.943746,10
17,0.001800776,0.000399958,0.000601387,0.000491037,elasticnet,0.0001,0.25,"{'estimator__regressor__alpha': 0.0001, 'estimator__regressor__l1_ratio': 0.25, 'estimator__regressor__penalty': 'elasticnet'}",-937.5461382,-1889.877952,-153.2695407,-1261.863701,-260.72049,-135.5166416,-12261.40505,-26697.8967,-985.2848166,-1054.878046,-4515.018695,8101.944072,11
18,0.002102089,0.000300344,0.000600386,0.000490213,elasticnet,0.0001,0.5,"{'estimator__regressor__alpha': 0.0001, 'estimator__regressor__l1_ratio': 0.5, 'estimator__regressor__penalty': 'elasticnet'}",-937.5472213,-1889.879468,-153.2696593,-1261.864639,-260.7206305,-135.5172727,-12261.40711,-26697.89794,-985.2850092,-1054.878255,-4515.019507,8101.944399,12
19,0.00190177,0.000300296,0.000400376,0.000490359,elasticnet,0.0001,0.75,"{'estimator__regressor__alpha': 0.0001, 'estimator__regressor__l1_ratio': 0.75, 'estimator__regressor__penalty': 'elasticnet'}",-937.5483044,-1889.880985,-153.2697779,-1261.865578,-260.7207711,-135.5179039,-12261.40916,-26697.89918,-985.2852018,-1054.878464,-4515.020318,8101.944727,13
20,0.002002645,2.42E-06,0.000499606,0.000499612,elasticnet,0.0001,0.999,"{'estimator__regressor__alpha': 0.0001, 'estimator__regressor__l1_ratio': 0.999, 'estimator__regressor__penalty': 'elasticnet'}",-937.5493833,-1889.882495,-153.269896,-1261.866513,-260.7209112,-135.5185326,-12261.41121,-26697.90041,-985.2853935,-1054.878673,-4515.021127,8101.945053,14
21,0.001801586,0.000400293,0.000700593,0.000458646,elasticnet,0.001,0.001,"{'estimator__regressor__alpha': 0.001, 'estimator__regressor__l1_ratio': 0.001, 'estimator__regressor__penalty': 'elasticnet'}",-937.5642699,-1889.899122,-153.2734998,-1261.88237,-260.7249582,-135.5251341,-12261.45701,-26697.94899,-985.2984536,-1054.885228,-4515.038595,8101.95905,17
22,0.001901793,0.000300304,0.000600505,0.00049031,elasticnet,0.001,0.25,"{'estimator__regressor__alpha': 0.001, 'estimator__regressor__l1_ratio': 0.25, 'estimator__regressor__penalty': 'elasticnet'}",-937.5750431,-1889.914203,-153.27468,-1261.891709,-260.7263579,-135.5314121,-12261.47748,-26697.96131,-985.3003671,-1054.887307,-4515.046668,8101.96231,18
