,fold_number,train_nmse,test_nmse,test_mae,best_feature_set,best_hyperparams,test_set,nll
0,0,-2053.788851341239,-22964.69403899129,27.149563129468277,"['X', 'Y', 'FFMC', 'DMC', 'DC', 'ISI', 'day_sin', 'day_cos', 'mnth_sin', 'mnth_cos']","{'estimator__regressor__alpha': 0.001, 'estimator__regressor__l1_ratio': 0.5, 'estimator__regressor__penalty': 'l2'}","[0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
 0.00000e+00 0.00000e+00 4.70000e-01 1.46000e+00 1.56000e+00 4.69000e+00
 6.96000e+00 1.00200e+01 1.39900e+01 1.92300e+01 2.34100e+01 3.68500e+01
 4.85500e+01 1.09084e+03 2.87000e+00 7.50000e-01 6.80000e-01 2.47700e+01
 0.00000e+00 0.00000e+00 0.00000e+00 3.78000e+00 2.18000e+00 4.42000e+00
 0.00000e+00 1.56400e+01 0.00000e+00 1.72000e+00 5.86000e+00 8.16000e+00
 0.00000e+00 0.00000e+00 1.23000e+00 6.11300e+01 7.36000e+00 0.00000e+00
 0.00000e+00 1.95000e+00 0.00000e+00 6.44000e+00]","[3.84809662e-01 3.84809662e-01 3.84809662e-01 3.84809662e-01
 3.84809662e-01 3.84809662e-01 3.84809662e-01 3.84809662e-01
 3.84809662e-01 3.84809662e-01 3.84809662e-01 3.84809662e-01
 3.84809662e-01 3.84809662e-01 2.83985216e-01 1.58568352e-01
 1.52457631e-01 5.69423021e-01 1.60928761e+00 3.99227224e+00
 8.76298716e+00 1.79632884e+01 2.76713715e+01 7.31329899e+01
 1.30404858e+02 7.13241170e+04 1.83532261e-01 2.36553591e-01
 2.47527117e-01 3.12832662e+01 3.84809662e-01 3.84809662e-01
 3.84809662e-01 3.26657558e-01 1.41427440e-01 4.86997729e-01
 3.84809662e-01 1.13036595e+01 3.84809662e-01 1.45183213e-01
 1.02796009e+00 2.40950999e+00 3.84809662e-01 3.84809662e-01
 1.77189300e-01 2.10360354e+02 1.85677659e+00 3.84809662e-01
 3.84809662e-01 1.40122761e-01 3.84809662e-01 1.31633340e+00]"
1,1,-4483.34713564162,-1230.578634987772,12.50731350416327,"['X', 'Y', 'FFMC', 'DMC', 'DC', 'ISI', 'day_sin', 'day_cos', 'mnth_sin', 'mnth_cos']","{'estimator__regressor__alpha': 0.0001, 'estimator__regressor__l1_ratio': 0.001, 'estimator__regressor__penalty': 'l2'}","[  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
   0.     0.     0.     0.     0.     0.     0.     0.     1.07   2.51
   2.74   4.61  10.01  13.7   32.07  58.3   95.18 212.88   2.47   1.52
   5.38  10.73   0.     0.9    0.    34.36   0.     0.     0.52   0.
   0.     3.2    6.36   0.     9.71   0.     6.84  16.4   49.59   0.
   2.17  54.29]","[3.82959597e-01 3.82959597e-01 3.82959597e-01 3.82959597e-01
 3.82959597e-01 3.82959597e-01 3.82959597e-01 3.82959597e-01
 3.82959597e-01 3.82959597e-01 3.82959597e-01 3.82959597e-01
 3.82959597e-01 3.82959597e-01 3.82959597e-01 3.82959597e-01
 3.82959597e-01 3.82959597e-01 1.88401815e-01 1.47119579e-01
 1.63963866e-01 5.40542795e-01 4.02353319e+00 8.45033270e+00
 5.52164424e+01 1.93377772e+02 5.29660911e+02 2.71309677e+03
 1.44849159e-01 1.48316479e-01 8.19647202e-01 4.75681269e+00
 3.82959597e-01 2.09976727e-01 3.82959597e-01 6.39332608e+01
 3.82959597e-01 3.82959597e-01 2.70956286e-01 3.82959597e-01
 3.82959597e-01 2.17020352e-01 1.27952117e+00 3.82959597e-01
 3.73667234e+00 3.82959597e-01 1.54752873e+00 1.27422412e+01
 1.38187891e+02 3.82959597e-01 1.34045102e-01 1.66818829e+02]"
2,2,-4599.398790316348,-180.2430921291481,5.722132047521814,"['X', 'Y', 'FFMC', 'DMC', 'DC', 'ISI', 'day_sin', 'day_cos', 'mnth_sin', 'mnth_cos']","{'estimator__regressor__alpha': 0.001, 'estimator__regressor__l1_ratio': 0.75, 'estimator__regressor__penalty': 'l2'}","[ 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
  0.    0.    0.    0.    1.46  3.07  5.33  6.38  8.71 24.23 31.72  0.
  0.79  0.    3.09 22.03 24.24  0.    0.    3.33 11.22  0.    3.93  2.03
  1.26  0.    3.64  3.63  1.63  7.02  6.3   6.43  0.    0.    0.   82.75
  6.61 14.68  5.8   0.  ]","[3.74699689e-01 3.74699689e-01 3.74699689e-01 3.74699689e-01
 3.74699689e-01 3.74699689e-01 3.74699689e-01 3.74699689e-01
 3.74699689e-01 3.74699689e-01 3.74699689e-01 3.74699689e-01
 3.74699689e-01 3.74699689e-01 3.74699689e-01 3.74699689e-01
 1.23770798e-01 1.68440626e-01 7.99831151e-01 1.31915664e+00
 2.98363068e+00 3.20834852e+01 5.73331953e+01 3.74699689e-01
 2.04507505e-01 3.74699689e-01 1.71115214e-01 2.60531317e+01
 3.21123329e+01 3.74699689e-01 3.74699689e-01 2.07267576e-01
 5.56659130e+00 3.74699689e-01 3.30419044e-01 1.01041158e-01
 1.41759337e-01 3.74699689e-01 2.65050451e-01 2.62991424e-01
 1.12570357e-01 1.70602456e+00 1.27454336e+00 1.34746258e+00
 3.74699689e-01 3.74699689e-01 3.74699689e-01 4.23532092e+02
 1.45205583e+00 1.04702524e+01 1.01456642e+00 3.74699689e-01]"
3,3,-4323.370412706093,-2686.1975376053806,16.812412247472196,"['FFMC', 'DMC', 'DC', 'ISI']","{'estimator__regressor__alpha': 1e-05, 'estimator__regressor__l1_ratio': 0.25, 'estimator__regressor__penalty': 'none'}","[0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.5000e-01 7.7000e-01
 1.6300e+00 2.5300e+00 4.5300e+00 5.4400e+00 7.0400e+00 2.6000e+01
 6.4100e+01 1.5488e+02 1.7000e-01 9.2700e+00 1.1190e+01 0.0000e+00
 0.0000e+00 1.4290e+01 7.2100e+00 1.6400e+00 0.0000e+00 1.2640e+01
 0.0000e+00 0.0000e+00 7.7300e+00 1.2180e+01 3.0180e+01 7.8000e+00
 0.0000e+00 1.8576e+02 0.0000e+00 1.5340e+01 5.5500e+00 2.7853e+02
 0.0000e+00 2.0700e+00 2.7700e+00 0.0000e+00]","[4.35885635e-01 4.35885635e-01 4.35885635e-01 4.35885635e-01
 4.35885635e-01 4.35885635e-01 4.35885635e-01 4.35885635e-01
 4.35885635e-01 4.35885635e-01 4.35885635e-01 4.35885635e-01
 4.35885635e-01 4.35885635e-01 4.35885635e-01 4.35885635e-01
 3.43734786e-01 3.15169536e-01 2.48986361e-01 2.57289370e-01
 5.59751822e-01 8.27042994e-01 1.49365885e+00 2.84814381e+01
 1.89167802e+02 1.14493752e+03 4.04239347e-01 2.84098095e+00
 4.39117996e+00 4.35885635e-01 4.35885635e-01 7.65613718e+00
 1.57922109e+00 2.48642806e-01 4.35885635e-01 5.80118270e+00
 4.35885635e-01 4.35885635e-01 1.85851043e+00 5.33157170e+00
 3.91676637e+01 1.89812943e+00 4.35885635e-01 1.65401902e+03
 4.35885635e-01 8.97538554e+00 8.64847065e-01 3.74511300e+03
 4.35885635e-01 2.43134594e-01 2.72901005e-01 4.35885635e-01]"
4,4,-4594.366566507905,-240.59989090976555,6.464219675515139,"['X', 'Y', 'FFMC', 'DMC', 'DC', 'ISI', 'day_sin', 'day_cos', 'mnth_sin', 'mnth_cos']","{'estimator__regressor__alpha': 0.0001, 'estimator__regressor__l1_ratio': 0.25, 'estimator__regressor__penalty': 'l2'}","[ 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
  0.    0.43  0.9   1.19  1.43  1.64  1.95  2.14  9.41 10.93 11.32 71.3
  0.76  0.    3.3   4.25  9.27  8.    0.    1.01  0.   28.19  5.97  5.65
  0.   39.35 24.59 70.76  0.    4.62  0.    2.44  0.    3.35  2.14  0.
  1.29  2.    0.    0.  ]","[3.69956679e-01 3.69956679e-01 3.69956679e-01 3.69956679e-01
 3.69956679e-01 3.69956679e-01 3.69956679e-01 3.69956679e-01
 3.69956679e-01 3.69956679e-01 3.69956679e-01 3.69956679e-01
 3.69956679e-01 2.59711084e-01 1.68311163e-01 1.27078299e-01
 1.01705512e-01 8.60056276e-02 7.39196645e-02 7.30478419e-02
 3.77083266e+00 5.46314091e+00 5.94859837e+00 3.29722443e+02
 1.92358256e-01 3.69956679e-01 1.75461043e-01 3.97237260e-01
 3.63095056e+00 2.48521463e+00 3.69956679e-01 1.51308933e-01
 3.69956679e-01 4.69797582e+01 1.11471171e+00 9.50407089e-01
 3.69956679e-01 9.56437553e+01 3.49372854e+01 3.24599293e+02
 3.69956679e-01 5.17213654e-01 3.69956679e-01 8.17844207e-02
 3.69956679e-01 1.84037616e-01 7.30478419e-02 3.69956679e-01
 1.15543148e-01 7.32086594e-02 3.69956679e-01 3.69956679e-01]"
5,5,-4513.089924379367,-986.9761802519872,12.284049331478109,"['X', 'Y', 'temp', 'RH', 'wind', 'rain', 'day_sin', 'day_cos', 'mnth_sin', 'mnth_cos']","{'estimator__regressor__alpha': 1e-05, 'estimator__regressor__l1_ratio': 0.999, 'estimator__regressor__penalty': 'elasticnet'}","[0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 7.1000e-01 9.5000e-01 9.6000e-01 2.0100e+00 5.2300e+00
 6.8300e+00 1.1240e+01 1.3050e+01 3.1860e+01 3.7020e+01 1.0566e+02
 0.0000e+00 9.0000e-02 0.0000e+00 6.5700e+00 0.0000e+00 3.5200e+00
 0.0000e+00 5.1800e+00 0.0000e+00 1.5800e+00 0.0000e+00 7.4800e+00
 0.0000e+00 0.0000e+00 1.0900e+00 3.9400e+00 2.0030e+01 1.1060e+01
 1.7463e+02 2.8740e+01 0.0000e+00 6.0400e+00 3.9500e+00 0.0000e+00
 0.0000e+00 0.0000e+00 6.4300e+00 0.0000e+00 0.0000e+00 7.0320e+01
 2.6430e+01 0.0000e+00 4.3320e+01 1.0820e+01]","[ 3.20424535e-01  3.20424535e-01  3.20424535e-01  3.20424535e-01
  3.20424535e-01  3.20424535e-01  3.20424535e-01  7.15653166e-02
  1.05195057e-02  8.22895234e-03 -1.19633714e-01  8.79814900e-01
  2.15695788e+00  8.35953239e+00  1.20446896e+01  8.95969028e+01
  1.23389230e+02  1.08559249e+03  3.20424535e-01  2.83231547e-01
  3.20424535e-01  1.91416099e+00  3.20424535e-01  8.77204763e-02
  3.20424535e-01  8.48253910e-01  3.20424535e-01 -9.42531841e-02
  3.20424535e-01  2.82381515e+00  3.20424535e-01  3.20424535e-01
 -1.97062405e-02  2.27435036e-01  3.24655460e+01  8.02930567e+00
  3.01299092e+03  7.17789218e+01  3.20424535e-01  1.46160500e+00
  2.31196771e-01  3.20424535e-01  3.20424535e-01  3.20424535e-01
  1.78909190e+00  3.20424535e-01  3.20424535e-01  4.71087597e+02
  5.98562556e+01  3.20424535e-01  1.71954378e+02  7.59920524e+00]"
6,6,-4582.300217046059,-345.21923428786556,8.277748389415972,"['X', 'Y', 'FFMC', 'DMC', 'DC', 'ISI', 'day_sin', 'day_cos', 'mnth_sin', 'mnth_cos']","{'estimator__regressor__alpha': 0.001, 'estimator__regressor__l1_ratio': 0.001, 'estimator__regressor__penalty': 'l2'}","[  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
   0.     0.     0.     0.     0.     0.     0.61   1.69   2.57   4.88
   7.19  11.06  15.45  35.88  37.71 103.39   0.    10.13  10.34   8.02
   0.     0.     1.1    0.     2.13   7.31  13.06   0.     0.    18.3
  16.33  42.87   9.96  51.78   0.     0.     0.     0.72   4.96   0.54
   0.     1.76]","[4.19934764e-01 4.19934764e-01 4.19934764e-01 4.19934764e-01
 4.19934764e-01 4.19934764e-01 4.19934764e-01 4.19934764e-01
 4.19934764e-01 4.19934764e-01 4.19934764e-01 4.19934764e-01
 4.19934764e-01 4.19934764e-01 4.19934764e-01 4.19934764e-01
 2.94927887e-01 1.77472861e-01 1.79923820e-01 6.05707531e-01
 1.63882564e+00 4.73068166e+00 1.03015475e+01 6.50835394e+01
 7.23087862e+01 5.83961680e+02 4.19934764e-01 3.83207943e+00
 4.02638511e+00 2.15834642e+00 4.19934764e-01 4.19934764e-01
 2.25185981e-01 4.19934764e-01 1.67680936e-01 1.70908851e+00
 6.99664092e+00 4.19934764e-01 4.19934764e-01 1.50924101e+01
 1.16821755e+01 9.47341966e+01 3.67846062e+00 1.40591351e+02
 4.19934764e-01 4.19934764e-01 4.19934764e-01 2.76892783e-01
 6.31334112e-01 3.07121813e-01 4.19934764e-01 1.74441135e-01]"
7,7,-3304.853267253768,-11959.232345665438,27.127133890022883,"['X', 'Y', 'FFMC', 'DMC', 'DC', 'ISI', 'day_sin', 'day_cos', 'mnth_sin', 'mnth_cos']","{'estimator__regressor__alpha': 0.001, 'estimator__regressor__l1_ratio': 0.001, 'estimator__regressor__penalty': 'elasticnet'}","[0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 3.6000e-01 1.6100e+00 1.9400e+00 2.6900e+00 1.1530e+01
 1.7200e+01 2.6130e+01 2.7350e+01 2.8660e+01 2.9480e+01 4.9370e+01
 8.8490e+01 2.0094e+02 8.8500e+00 0.0000e+00 9.7700e+00 0.0000e+00
 2.6400e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.6040e+01
 0.0000e+00 0.0000e+00 7.4628e+02 0.0000e+00 0.0000e+00 0.0000e+00
 3.3000e-01 9.9600e+00 0.0000e+00 0.0000e+00 3.7100e+00 3.8480e+01
 2.2100e+00 2.7500e+00 8.5900e+00]","[ 3.38947536e-01  3.38947536e-01  3.38947536e-01  3.38947536e-01
  3.38947536e-01  3.38947536e-01  3.38947536e-01  3.38947536e-01
  3.38947536e-01  3.38947536e-01  3.38947536e-01  3.38947536e-01
  3.38947536e-01  2.07441190e-01 -5.96773423e-02 -8.11006468e-02
 -5.35188771e-02  8.25420552e+00  2.13296579e+01  5.41995525e+01
  5.98561826e+01  6.62421856e+01  7.04039942e+01  2.10140556e+02
  7.02346787e+02  3.72208700e+03  4.18107500e+00  3.38947536e-01
  5.42684697e+00  3.38947536e-01 -5.86533265e-02  3.38947536e-01
  3.38947536e-01  3.38947536e-01  3.38947536e-01  2.73681689e+02
  3.38947536e-01  3.38947536e-01  5.21443488e+04  3.38947536e-01
  3.38947536e-01  3.38947536e-01  2.17467850e-01  5.70398470e+00
  3.38947536e-01  3.38947536e-01  1.53992132e-01  1.24404405e+02
 -8.33745854e-02 -4.67360697e-02  3.85789787e+00]"
8,8,-4599.245207147468,-92.85932073449126,4.478859209805352,"['X', 'Y', 'FFMC', 'DMC', 'DC', 'ISI', 'day_sin', 'day_cos', 'mnth_sin', 'mnth_cos']","{'estimator__regressor__alpha': 0.001, 'estimator__regressor__l1_ratio': 0.001, 'estimator__regressor__penalty': 'l1'}","[ 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
  0.    1.9   2.29  8.31 12.1  14.57 30.32  0.    0.    0.24  1.38  1.56
  6.54  4.4   8.98  0.    0.41  0.    0.    4.41  0.    1.47  5.83  3.71
  1.75  0.    0.    4.95  3.05  2.35  0.    0.    1.94 46.7   0.   40.54
  0.    0.    0.43]","[  0.40746192   0.40746192   0.40746192   0.40746192   0.40746192
   0.40746192   0.40746192   0.40746192   0.40746192   0.40746192
   0.40746192   0.40746192   0.40746192   0.1263705    0.1242631
   2.49362583   6.29953487   9.74233559  49.55732933   0.40746192
   0.40746192   0.34715754   0.15863433   0.14365673   1.32875382
   0.44119977   3.03632293   0.40746192   0.30878036   0.40746192
   0.40746192   0.44402142   0.40746192   0.15064135   0.9710884
   0.27657009   0.13222282   0.40746192   0.40746192   0.61487689
   0.17455781   0.12561948   0.40746192   0.40746192   0.12528294
 123.72339534   0.40746192  91.91328609   0.40746192   0.40746192
   0.30450192]"
9,9,-4511.401020539763,-911.412592316882,8.845713878187864,"['X', 'Y', 'FFMC', 'DMC', 'DC', 'ISI', 'day_sin', 'day_cos', 'mnth_sin', 'mnth_cos']","{'estimator__regressor__alpha': 0.1, 'estimator__regressor__l1_ratio': 0.999, 'estimator__regressor__penalty': 'none'}","[  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
   0.     0.     1.12   1.36   1.75   2.55   3.5    7.3    7.4    8.24
   8.68  28.66 196.48   0.21   0.68   0.52  17.85  86.45   0.     0.
   6.58   2.18   6.1    8.12   2.93   0.    16.     0.     0.     0.
   0.     3.32   1.94   5.39   3.18   0.    10.08   3.19   0.    11.16
   0.  ]","[3.32361428e-01 3.32361428e-01 3.32361428e-01 3.32361428e-01
 3.32361428e-01 3.32361428e-01 3.32361428e-01 3.32361428e-01
 3.32361428e-01 3.32361428e-01 3.32361428e-01 3.32361428e-01
 1.35994970e-01 1.15332577e-01 9.78773380e-02 1.24535441e-01
 2.65273804e-01 2.01254464e+00 2.08411458e+00 2.73711023e+00
 3.11610890e+00 4.70957086e+01 2.48440113e+03 2.83004044e-01
 1.93507481e-01 2.20719983e-01 1.67968594e+01 4.69189013e+02
 3.32361428e-01 3.32361428e-01 1.53597907e+00 1.01767016e-01
 1.25606187e+00 2.63815616e+00 1.66618977e-01 3.32361428e-01
 1.31483055e+01 3.32361428e-01 3.32361428e-01 3.32361428e-01
 3.32361428e-01 2.29513605e-01 9.66040732e-02 8.97454226e-01
 2.04639586e-01 3.32361428e-01 4.49103322e+00 2.06331004e-01
 3.32361428e-01 5.72742740e+00 3.32361428e-01]"
