,fold_number,train_nmse,test_nmse,test_mae,best_feature_set,best_hyperparams,test_set,nll
0,0,-2026.7858088265832,-23024.51028129436,27.706515221670863,"['temp', 'RH', 'wind', 'rain']","{'Random Forest__regressor__max_depth': 16, 'Random Forest__regressor__min_samples_split': 2, 'Random Forest__regressor__n_estimators': 500}","[0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
 0.00000e+00 0.00000e+00 4.70000e-01 1.46000e+00 1.56000e+00 4.69000e+00
 6.96000e+00 1.00200e+01 1.39900e+01 1.92300e+01 2.34100e+01 3.68500e+01
 4.85500e+01 1.09084e+03 2.87000e+00 7.50000e-01 6.80000e-01 2.47700e+01
 0.00000e+00 0.00000e+00 0.00000e+00 3.78000e+00 2.18000e+00 4.42000e+00
 0.00000e+00 1.56400e+01 0.00000e+00 1.72000e+00 5.86000e+00 8.16000e+00
 0.00000e+00 0.00000e+00 1.23000e+00 6.11300e+01 7.36000e+00 0.00000e+00
 0.00000e+00 1.95000e+00 0.00000e+00 6.44000e+00]","[2.53502158e+00 2.53502158e+00 2.53502158e+00 2.53502158e+00
 2.53502158e+00 2.53502158e+00 2.53502158e+00 2.53502158e+00
 2.53502158e+00 2.53502158e+00 2.53502158e+00 2.53502158e+00
 2.53502158e+00 2.53502158e+00 2.40645850e+00 2.20600296e+00
 2.19105995e+00 2.21539183e+00 2.82963431e+00 4.45144089e+00
 7.91388345e+00 1.48327892e+01 2.22684768e+01 5.77021883e+01
 1.02864176e+02 5.75931020e+04 2.08520472e+00 2.34008842e+00
 2.35596550e+00 2.50544424e+01 2.53502158e+00 2.53502158e+00
 2.53502158e+00 2.10999470e+00 2.12013953e+00 2.17570999e+00
 2.53502158e+00 9.80425017e+00 2.53502158e+00 2.16917580e+00
 2.46934556e+00 3.35700560e+00 2.53502158e+00 2.53502158e+00
 2.24406594e+00 1.66288825e+02 2.98985036e+00 2.53502158e+00
 2.53502158e+00 2.14208302e+00 2.53502158e+00 2.64463714e+00]"
1,1,-4391.061698881147,-1167.982459831335,12.10460906261058,"['FFMC', 'DMC', 'DC', 'ISI']","{'Random Forest__regressor__max_depth': None, 'Random Forest__regressor__min_samples_split': 2, 'Random Forest__regressor__n_estimators': 500}","[  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
   0.     0.     0.     0.     0.     0.     0.     0.     1.07   2.51
   2.74   4.61  10.01  13.7   32.07  58.3   95.18 212.88   2.47   1.52
   5.38  10.73   0.     0.9    0.    34.36   0.     0.     0.52   0.
   0.     3.2    6.36   0.     9.71   0.     6.84  16.4   49.59   0.
   2.17  54.29]","[2.45157553e+00 2.45157553e+00 2.45157553e+00 2.45157553e+00
 2.45157553e+00 2.45157553e+00 2.45157553e+00 2.45157553e+00
 2.45157553e+00 2.45157553e+00 2.45157553e+00 2.45157553e+00
 2.45157553e+00 2.45157553e+00 2.45157553e+00 2.45157553e+00
 2.45157553e+00 2.45157553e+00 2.22470094e+00 2.09296131e+00
 2.09036654e+00 2.25786992e+00 4.62699337e+00 7.85680361e+00
 4.33981911e+01 1.50330896e+02 4.12462302e+02 2.12283385e+03
 2.09393126e+00 2.16213650e+00 2.42447015e+00 5.15450040e+00
 2.45157553e+00 2.25339838e+00 2.45157553e+00 5.01009727e+01
 2.45157553e+00 2.45157553e+00 2.32758314e+00 2.45157553e+00
 2.45157553e+00 2.10042060e+00 2.71887222e+00 2.45157553e+00
 4.42189487e+00 2.45157553e+00 2.89672612e+00 1.10486804e+01
 1.07493749e+02 2.45157553e+00 2.10610459e+00 1.29703932e+02]"
2,2,-4505.089498887172,-173.30988645313906,5.591111156572362,"['temp', 'RH', 'wind', 'rain']","{'Random Forest__regressor__max_depth': 16, 'Random Forest__regressor__min_samples_split': 2, 'Random Forest__regressor__n_estimators': 500}","[ 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
  0.    0.    0.    0.    1.46  3.07  5.33  6.38  8.71 24.23 31.72  0.
  0.79  0.    3.09 22.03 24.24  0.    0.    3.33 11.22  0.    3.93  2.03
  1.26  0.    3.64  3.63  1.63  7.02  6.3   6.43  0.    0.    0.   82.75
  6.61 14.68  5.8   0.  ]","[  2.57210752   2.57210752   2.57210752   2.57210752   2.57210752
   2.57210752   2.57210752   2.57210752   2.57210752   2.57210752
   2.57210752   2.57210752   2.57210752   2.57210752   2.57210752
   2.57210752   2.0712648    1.88029976   2.25162453   2.67821773
   4.20057635  34.59323699  61.86003476   2.57210752   2.26240931
   2.57210752   1.88031073  28.14274168  34.62417304   2.57210752
   2.57210752   1.88500414   6.72864605   2.57210752   1.93358239
   1.96031965   2.12145103   2.57210752   1.9035308    1.90271385
   2.03320478   3.01730638   2.64004247   2.70255244   2.57210752
   2.57210752   2.57210752 465.94151811   2.79318395  11.72361822
   2.42264745   2.57210752]"
3,3,-4226.950038867053,-2668.6139553195494,17.435277053592774,"['temp', 'RH', 'wind', 'rain']","{'Random Forest__regressor__max_depth': 16, 'Random Forest__regressor__min_samples_split': 2, 'Random Forest__regressor__n_estimators': 500}","[0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.5000e-01 7.7000e-01
 1.6300e+00 2.5300e+00 4.5300e+00 5.4400e+00 7.0400e+00 2.6000e+01
 6.4100e+01 1.5488e+02 1.7000e-01 9.2700e+00 1.1190e+01 0.0000e+00
 0.0000e+00 1.4290e+01 7.2100e+00 1.6400e+00 0.0000e+00 1.2640e+01
 0.0000e+00 0.0000e+00 7.7300e+00 1.2180e+01 3.0180e+01 7.8000e+00
 0.0000e+00 1.8576e+02 0.0000e+00 1.5340e+01 5.5500e+00 2.7853e+02
 0.0000e+00 2.0700e+00 2.7700e+00 0.0000e+00]","[2.60284943e+00 2.60284943e+00 2.60284943e+00 2.60284943e+00
 2.60284943e+00 2.60284943e+00 2.60284943e+00 2.60284943e+00
 2.60284943e+00 2.60284943e+00 2.60284943e+00 2.60284943e+00
 2.60284943e+00 2.60284943e+00 2.60284943e+00 2.60284943e+00
 2.45659315e+00 2.40562397e+00 2.24768514e+00 2.15284181e+00
 2.20000862e+00 2.33923223e+00 2.76261512e+00 2.51151427e+01
 1.66710967e+02 1.02438249e+03 2.55477014e+00 3.73252435e+00
 4.92194526e+00 2.60284943e+00 2.60284943e+00 7.53441662e+00
 2.82098077e+00 2.24623553e+00 2.60284943e+00 6.03751165e+00
 2.60284943e+00 2.60284943e+00 3.01546705e+00 5.66335589e+00
 3.43445054e+01 3.04348454e+00 2.60284943e+00 1.48320066e+03
 2.60284943e+00 8.61306679e+00 2.36105107e+00 3.37170997e+03
 2.60284943e+00 2.19231643e+00 2.13971743e+00 2.60284943e+00]"
4,4,-4043.054158565368,-2860.6481510402614,16.656957948684898,"['FFMC', 'DMC', 'DC', 'ISI']","{'Random Forest__regressor__max_depth': None, 'Random Forest__regressor__min_samples_split': 2, 'Random Forest__regressor__n_estimators': 500}","[ 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
  0.    0.43  0.9   1.19  1.43  1.64  1.95  2.14  9.41 10.93 11.32 71.3
  0.76  0.    3.3   4.25  9.27  8.    0.    1.01  0.   28.19  5.97  5.65
  0.   39.35 24.59 70.76  0.    4.62  0.    2.44  0.    3.35  2.14  0.
  1.29  2.    0.    0.  ]","[4.86786585 4.86786585 4.86786585 4.86786585 4.86786585 4.86786585
 4.86786585 4.86786585 4.86786585 4.86786585 4.86786585 4.86786585
 4.86786585 4.86571023 4.86343799 4.86207968 4.8609808  4.86003802
 4.85867828 4.85786372 4.83745381 4.83583665 4.83556947 5.5127022
 4.86410566 4.86786585 4.8532013  4.84978052 4.83764885 4.83977338
 4.86786585 4.86291884 4.86786585 4.88176705 4.84449802 4.84539195
 4.86786585 4.97437488 4.86243307 5.50023942 4.86786585 4.84854509
 4.86786585 4.85660675 4.86786585 4.85301233 4.85786372 4.86786585
 4.86161904 4.85846253 4.86786585 4.86786585]"
5,5,-4400.083897792279,-995.4903392490843,12.555840050217428,"['FFMC', 'DMC', 'DC', 'ISI']","{'Random Forest__regressor__max_depth': None, 'Random Forest__regressor__min_samples_split': 2, 'Random Forest__regressor__n_estimators': 500}","[0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 7.1000e-01 9.5000e-01 9.6000e-01 2.0100e+00 5.2300e+00
 6.8300e+00 1.1240e+01 1.3050e+01 3.1860e+01 3.7020e+01 1.0566e+02
 0.0000e+00 9.0000e-02 0.0000e+00 6.5700e+00 0.0000e+00 3.5200e+00
 0.0000e+00 5.1800e+00 0.0000e+00 1.5800e+00 0.0000e+00 7.4800e+00
 0.0000e+00 0.0000e+00 1.0900e+00 3.9400e+00 2.0030e+01 1.1060e+01
 1.7463e+02 2.8740e+01 0.0000e+00 6.0400e+00 3.9500e+00 0.0000e+00
 0.0000e+00 0.0000e+00 6.4300e+00 0.0000e+00 0.0000e+00 7.0320e+01
 2.6430e+01 0.0000e+00 4.3320e+01 1.0820e+01]","[2.25147723e+00 2.25147723e+00 2.25147723e+00 2.25147723e+00
 2.25147723e+00 2.25147723e+00 2.25147723e+00 2.05449948e+00
 2.00457751e+00 2.00268013e+00 1.88479195e+00 2.52806341e+00
 3.41128822e+00 7.78257509e+00 1.03994263e+01 6.59390986e+01
 9.02136778e+01 7.83314383e+02 2.25147723e+00 2.22243040e+00
 2.25147723e+00 3.24230339e+00 2.25147723e+00 1.99775250e+00
 2.25147723e+00 2.50649167e+00 2.25147723e+00 1.91358705e+00
 2.25147723e+00 3.87697663e+00 2.25147723e+00 2.25147723e+00
 1.97934417e+00 2.08840999e+00 2.49746459e+01 7.54851271e+00
 2.17333922e+03 5.31493449e+01 2.25147723e+00 2.92843259e+00
 2.09088274e+00 2.25147723e+00 2.25147723e+00 2.25147723e+00
 3.15540400e+00 2.25147723e+00 2.25147723e+00 3.40463243e+02
 4.45966625e+01 2.25147723e+00 1.25127418e+02 7.24379592e+00]"
6,6,-4475.722145276015,-358.47770752044795,9.53641256073631,"['FFMC', 'DMC', 'DC', 'ISI']","{'Random Forest__regressor__max_depth': None, 'Random Forest__regressor__min_samples_split': 2, 'Random Forest__regressor__n_estimators': 500}","[  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
   0.     0.     0.     0.     0.     0.     0.61   1.69   2.57   4.88
   7.19  11.06  15.45  35.88  37.71 103.39   0.    10.13  10.34   8.02
   0.     0.     1.1    0.     2.13   7.31  13.06   0.     0.    18.3
  16.33  42.87   9.96  51.78   0.     0.     0.     0.72   4.96   0.54
   0.     1.76]","[  2.52927872   2.52927872   2.52927872   2.52927872   2.52927872
   2.52927872   2.52927872   2.52927872   2.52927872   2.52927872
   2.52927872   2.52927872   2.52927872   2.52927872   2.52927872
   2.52927872   2.40841494   2.26382249   2.21158502   2.35463451
   2.90345155   4.73223099   8.18543205  43.53519594  48.25043645
 386.07097694   2.52927872   4.18879988   4.30576136   3.19973585
   2.52927872   2.52927872   2.33182094   2.52927872   2.2303429
   2.94304845   6.12370301   2.52927872   2.52927872  11.21178464
   9.0539716   62.91722482   4.09657294  93.00946778   2.52927872
   2.52927872   2.52927872   2.38963109   2.36685821   2.42084736
   2.52927872   2.25751145]"
7,7,-3287.8357258413234,-11994.927374421644,27.587112169757834,"['X', 'Y', 'FFMC', 'DMC', 'DC', 'ISI', 'day_sin', 'day_cos', 'mnth_sin', 'mnth_cos']","{'Random Forest__regressor__max_depth': None, 'Random Forest__regressor__min_samples_split': 6, 'Random Forest__regressor__n_estimators': 500}","[0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 3.6000e-01 1.6100e+00 1.9400e+00 2.6900e+00 1.1530e+01
 1.7200e+01 2.6130e+01 2.7350e+01 2.8660e+01 2.9480e+01 4.9370e+01
 8.8490e+01 2.0094e+02 8.8500e+00 0.0000e+00 9.7700e+00 0.0000e+00
 2.6400e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.6040e+01
 0.0000e+00 0.0000e+00 7.4628e+02 0.0000e+00 0.0000e+00 0.0000e+00
 3.3000e-01 9.9600e+00 0.0000e+00 0.0000e+00 3.7100e+00 3.8480e+01
 2.2100e+00 2.7500e+00 8.5900e+00]","[2.69327877e+00 2.69327877e+00 2.69327877e+00 2.69327877e+00
 2.69327877e+00 2.69327877e+00 2.69327877e+00 2.69327877e+00
 2.69327877e+00 2.69327877e+00 2.69327877e+00 2.69327877e+00
 2.69327877e+00 2.56822452e+00 2.23882240e+00 2.17901553e+00
 2.08527685e+00 5.39565055e+00 1.18037667e+01 2.86865487e+01
 3.16379682e+01 3.49797290e+01 3.71624838e+01 1.11561107e+02
 3.78118261e+02 2.03201329e+03 3.53225004e+00 2.69327877e+00
 4.08759448e+00 2.69327877e+00 2.08970324e+00 2.69327877e+00
 2.69327877e+00 2.69327877e+00 2.69327877e+00 1.45736777e+02
 2.69327877e+00 2.69327877e+00 2.87354126e+04 2.69327877e+00
 2.69327877e+00 2.69327877e+00 2.57813010e+00 4.21326917e+00
 2.69327877e+00 2.69327877e+00 2.05182018e+00 6.57225115e+01
 2.13851984e+00 2.08030892e+00 3.39128348e+00]"
8,8,-4510.462775207214,-97.22147700184543,4.4275491853700855,"['FFMC', 'DMC', 'DC', 'ISI']","{'Random Forest__regressor__max_depth': None, 'Random Forest__regressor__min_samples_split': 2, 'Random Forest__regressor__n_estimators': 500}","[ 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
  0.    1.9   2.29  8.31 12.1  14.57 30.32  0.    0.    0.24  1.38  1.56
  6.54  4.4   8.98  0.    0.41  0.    0.    4.41  0.    1.47  5.83  3.71
  1.75  0.    0.    4.95  3.05  2.35  0.    0.    1.94 46.7   0.   40.54
  0.    0.    0.43]","[  2.09994223   2.09994223   2.09994223   2.09994223   2.09994223
   2.09994223   2.09994223   2.09994223   2.09994223   2.09994223
   2.09994223   2.09994223   2.09994223   1.52707678   1.54198736
   7.49702331  16.76206886  25.09418329 120.79768759   2.09994223
   2.09994223   1.96847435   1.57739913   1.55090033   4.63009911
   2.40524718   8.82477927   2.09994223   1.88569184   2.09994223
   2.09994223   2.41248365   2.09994223   1.56294802   3.74131917
   1.97758753   1.53335896   2.09994223   2.09994223   2.84731563
   1.70070898   1.54828696   2.09994223   2.09994223   1.52652905
 298.40870566   2.09994223 222.27489532   2.09994223   2.09994223
   1.87651648]"
9,9,-4421.656916407793,-904.9607212578741,9.120313190923703,"['temp', 'RH', 'wind', 'rain']","{'Random Forest__regressor__max_depth': None, 'Random Forest__regressor__min_samples_split': 2, 'Random Forest__regressor__n_estimators': 500}","[  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
   0.     0.     1.12   1.36   1.75   2.55   3.5    7.3    7.4    8.24
   8.68  28.66 196.48   0.21   0.68   0.52  17.85  86.45   0.     0.
   6.58   2.18   6.1    8.12   2.93   0.    16.     0.     0.     0.
   0.     3.32   1.94   5.39   3.18   0.    10.08   3.19   0.    11.16
   0.  ]","[   2.61495847    2.61495847    2.61495847    2.61495847    2.61495847
    2.61495847    2.61495847    2.61495847    2.61495847    2.61495847
    2.61495847    2.61495847    2.32307068    2.27601316    2.21120481
    2.12344336    2.09812339    2.85343681    2.89182159    3.25172554
    3.46697426   32.60315509 1773.00297897    2.55116053    2.42354184
    2.46463265   12.13501271  330.16237885    2.61495847    2.61495847
    2.60508483    2.15648267    2.4668519     3.19621043    2.10303625
    2.61495847    9.74362232    2.61495847    2.61495847    2.61495847
    2.61495847    2.09634336    2.18486123    2.30247852    2.09708495
    2.61495847    4.27410501    2.09697029    2.61495847    5.02385674
    2.61495847]"
